iter	Passed	Remaining
672	22720	44799
673	22753	44764
674	22789	44735
675	22823	44702
676	22857	44667
677	22889	44630
678	22921	44594
679	22954	44558
680	22987	44523
681	23020	44488
682	23053	44452
683	23087	44420
684	23122	44387
685	23155	44353
686	23188	44317
687	23221	44283
688	23255	44249
689	23287	44212
690	23319	44175
691	23352	44140
692	23386	44107
693	23419	44072
694	23453	44038
695	23485	44001
696	23518	43965
697	23551	43931
698	23585	43898
699	23617	43861
700	23651	43827
701	23685	43794
702	23717	43757
703	23752	43725
704	23785	43690
705	23818	43655
706	23853	43625
707	23886	43589
708	23919	43554
709	23951	43518
710	23983	43480
711	24016	43446
712	24049	43410
713	24082	43375
714	24114	43339
715	24148	43305
716	24181	43271
717	24213	43234
718	24246	43197
719	24279	43163
720	24313	43129
721	24348	43098
722	24383	43067
723	24419	43037
724	24451	43000
725	24488	42972
726	24521	42937
727	24554	42903
728	24588	42869
729	24620	42832
730	24653	42797
731	24688	42765
732	24721	42731
733	24753	42695
734	24785	42658
735	24818	42622
736	24850	42586
737	24885	42554
738	24921	42524
739	24952	42486
740	24985	42451
741	25018	42416
742	25051	42381
743	25083	42345
744	25116	42310
745	25149	42275
746	25183	42242
747	25215	42205
748	25249	42172
749	25282	42137
750	25315	42101
751	25346	42064
752	25379	42028
753	25414	41998
754	25447	41963
755	25480	41927
756	25513	41892
757	25545	41856
758	25577	41819
759	25608	41782
760	25642	41749
761	25674	41712
762	25707	41677
763	25740	41642
764	25772	41606
765	25804	41569
766	25835	41532
767	25868	41497
768	25902	41464
769	25935	41430
770	25968	41394
771	25999	41357
772	26033	41323
773	26066	41288
774	26100	41255
775	26133	41220
776	26166	41185
777	26197	41148
778	26230	41113
779	26262	41077
780	26295	41043
781	26328	41007
782	26361	40973
783	26392	40936
784	26427	40903
785	26459	40867
786	26495	40837
787	26527	40801
788	26560	40767
789	26594	40732
790	26628	40700
791	26661	40664
792	26694	40630
793	26728	40597
794	26765	40568
795	26798	40533
796	26830	40498
797	26862	40462
798	26895	40428
799	26928	40392
800	26959	40355
801	26993	40321
802	27026	40287
803	27060	40254
804	27092	40217
805	27124	40181
806	27156	40146
807	27188	40110
808	27221	40075
809	27257	40045
810	27290	40010
811	27323	39975
812	27355	39939
813	27387	39903
814	27419	39867
815	27453	39833
816	27484	39797
817	27518	39763
818	27555	39734
819	27588	39700
820	27621	39666
821	27656	39633
822	27688	39598
823	27722	39565
824	27756	39532
825	27789	39498
826	27824	39465
827	27856	39429
828	27888	39393
829	27921	39359
830	27954	39324
831	27987	39289
832	28019	39253
833	28051	39218
834	28083	39182
835	28115	39146
836	28149	39113
837	28182	39078
838	28217	39047
839	28252	39015
840	28285	38980
841	28318	38946
842	28351	38912
843	28383	38876
844	28416	38841
845	28449	38806
846	28484	38774
847	28517	38741
848	28549	38705
849	28582	38670
850	28615	38635
851	28648	38602
852	28681	38567
853	28712	38530
854	28744	38494
855	28775	38456
856	28807	38421
857	28839	38385
858	28871	38350
859	28905	38316
860	28937	38280
861	28969	38244
862	29000	38208
863	29032	38172
864	29068	38142
865	29104	38111
866	29135	38074
867	29168	38040
868	29201	38005
869	29235	37972
870	29266	37935
871	29298	37899
872	29330	37864
873	29362	37828
874	29393	37792
875	29425	37756
876	29457	37720
877	29490	37685
878	29522	37650
879	29554	37614
880	29587	37580
881	29618	37543
882	29650	37508
883	29683	37473
884	29716	37439
885	29750	37406
886	29783	37371
887	29815	37336
888	29849	37303
889	29881	37268
890	29913	37232
891	29947	37198
892	29981	37166
893	30014	37131
894	30047	37097
895	30079	37062
896	30111	37026
897	30143	36991
898	30177	36958
899	30210	36924
900	30243	36889
901	30275	36853
902	30307	36819
903	30341	36785
904	30374	36751
905	30406	36715
906	30438	36681
907	30472	36647
908	30504	36612
909	30538	36578
910	30571	36545
911	30604	36510
912	30637	36476
913	30668	36440
914	30703	36407
915	30739	36376
916	30770	36341
917	30804	36307
918	30837	36273
919	30870	36239
920	30903	36205
921	30936	36171
922	30969	36136
923	31002	36102
924	31035	36067
925	31066	36032
926	31098	35996
927	31130	35960
928	31163	35927
